epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,2589.6,0.3568,0.40898,0.39814,0.85227,0.96752,0.93311,0.98715,0.95757,0.96752,0.93311,0.98715,0.95064,0.27309,0.3258,0.33662,0.81738,0.00053225,0.00053225,0.00053225
31,2640.36,0.36582,0.41029,0.40452,0.85733,0.96706,0.97882,0.99206,0.96605,0.96706,0.97882,0.99206,0.95937,0.26831,0.3245,0.2883,0.81056,0.0005075,0.0005075,0.0005075
32,2690.95,0.34958,0.39828,0.41461,0.84383,0.97951,0.96208,0.99083,0.9704,0.97976,0.96195,0.99061,0.9611,0.25292,0.31829,0.28989,0.80101,0.00048275,0.00048275,0.00048275
33,2742.92,0.35841,0.39992,0.42118,0.85693,0.9519,0.97442,0.99052,0.9647,0.9519,0.97442,0.99052,0.95138,0.26323,0.29672,0.29998,0.80164,0.000458,0.000458,0.000458
34,2792.96,0.34763,0.389,0.35975,0.84897,0.96525,0.96564,0.99024,0.97142,0.96525,0.96564,0.99024,0.96238,0.24005,0.31236,0.28263,0.79984,0.00043325,0.00043325,0.00043325
35,2844.46,0.34486,0.38728,0.35584,0.85234,0.97806,0.96533,0.99214,0.96988,0.97806,0.96533,0.99214,0.96383,0.24159,0.28877,0.2724,0.79876,0.0004085,0.0004085,0.0004085
36,2895.91,0.32822,0.36721,0.35281,0.84253,0.97075,0.95526,0.99056,0.97041,0.97075,0.95526,0.98888,0.95862,0.24683,0.35394,0.28871,0.79733,0.00038375,0.00038375,0.00038375
37,2945.76,0.33203,0.38827,0.34194,0.84172,0.98309,0.97856,0.992,0.97031,0.98309,0.97856,0.992,0.95917,0.24263,0.28087,0.26237,0.79857,0.000359,0.000359,0.000359
38,2997.46,0.32701,0.38028,0.34713,0.84623,0.98079,0.96703,0.99329,0.9775,0.98079,0.96703,0.99329,0.96233,0.2221,0.27799,0.25545,0.79235,0.00033425,0.00033425,0.00033425
39,3047.28,0.32332,0.37276,0.32409,0.84823,0.9676,0.97613,0.99145,0.9705,0.9676,0.97613,0.99145,0.95624,0.24745,0.29178,0.26767,0.79167,0.0003095,0.0003095,0.0003095
40,3097.94,0.31833,0.37981,0.34014,0.83737,0.97661,0.97987,0.99249,0.97432,0.97661,0.97987,0.99249,0.95922,0.23859,0.29101,0.24424,0.79308,0.00028475,0.00028475,0.00028475
41,3148.53,0.26256,0.29821,0.2872,0.8064,0.97991,0.96034,0.98601,0.96476,0.97991,0.96034,0.98601,0.95357,0.23224,0.32387,0.27967,0.79992,0.00026,0.00026,0.00026
42,3196.39,0.26062,0.29512,0.2778,0.80635,0.97694,0.97674,0.99102,0.97173,0.97694,0.97674,0.99102,0.96339,0.23983,0.29832,0.25601,0.79239,0.00023525,0.00023525,0.00023525
43,3243.39,0.25252,0.28826,0.25629,0.80733,0.98513,0.96553,0.99317,0.97942,0.98513,0.96553,0.99295,0.96499,0.22266,0.30158,0.24622,0.79379,0.0002105,0.0002105,0.0002105
44,3291.43,0.24696,0.28485,0.24159,0.8065,0.98791,0.96934,0.99352,0.97849,0.98791,0.96934,0.99234,0.96084,0.2213,0.32568,0.22965,0.79059,0.00018575,0.00018575,0.00018575
45,3339.15,0.25934,0.28898,0.26852,0.82001,0.96393,0.99122,0.99277,0.9797,0.96393,0.99122,0.99277,0.96526,0.21488,0.28913,0.23342,0.78854,0.000161,0.000161,0.000161
46,3385.31,0.25839,0.29999,0.25273,0.81374,0.97101,0.97833,0.9917,0.97669,0.97101,0.97833,0.9917,0.96369,0.21582,0.29896,0.23802,0.78766,0.00013625,0.00013625,0.00013625
47,3432.49,0.23238,0.27236,0.25575,0.79745,0.97515,0.98232,0.98947,0.97815,0.97515,0.98232,0.98947,0.96425,0.2065,0.29234,0.23291,0.78584,0.0001115,0.0001115,0.0001115
48,3481.53,0.22585,0.27064,0.20909,0.79482,0.9721,0.98067,0.99206,0.98043,0.9721,0.98067,0.99206,0.96907,0.20051,0.27934,0.22121,0.78623,8.675e-05,8.675e-05,8.675e-05
49,3527.89,0.22661,0.27074,0.21664,0.79664,0.98257,0.97687,0.99133,0.97955,0.98257,0.97687,0.99133,0.97037,0.19349,0.28127,0.21092,0.78504,6.2e-05,6.2e-05,6.2e-05
50,3575.13,0.21748,0.26785,0.19779,0.79274,0.97897,0.98397,0.99101,0.9798,0.97897,0.98397,0.99101,0.97177,0.19509,0.27827,0.21088,0.78442,3.725e-05,3.725e-05,3.725e-05
